sample_id,category_id
d1dlwa_,a.1
d1asha_,a.1
d1x9fc_,a.1
d1jl7a_,a.1
d1or4a_,a.1
d1itha_,a.1
d1cg5b_,a.1
d1hlba_,a.1
d1naza_,a.1
d2xkia_,a.1
d2zs0b_,a.1
d4po5a1,a.1
d1x3ka_,a.1
d2j0121,a.2
d2qwob_,a.2
d2yuaa1,a.2
d2cuga1,a.2
d4nkgb_,a.2
d1lrza1,a.2
d3pcoc1,a.2
d1qoja_,a.2
d3ziah2,a.2
d4f6ea1,a.2
d1z0kb1,a.2
d2ca5a1,a.2
d1gu2a_,a.3
d1c75a_,a.3
d1ctja_,a.3
d1e29a_,a.3
d1qksa1,a.3
d3cx5d1,a.3
d1qcrd2,a.3
d1h32a1,a.3
d4aana1,a.3
d4aana2,a.3
d3cu4a_,a.3
d4xxla1,a.3
d1x58a1,a.4
d1akha_,a.4
d1qrya_,a.4
d1gv2a2,a.4
d2crga1,a.4
d1k78a2,a.4
d1iufa2,a.4
d2oi8a1,a.4
d2o7ta1,a.4
d2fbqa1,a.4
d1g2ha_,a.4
d2o3fa1,a.4
d2d5va2,a.4
d2li6a_,a.4
d1zyba1,a.4
d1u2wa1,a.4
d1y0ua1,a.4
d1hw1a1,a.4
d1v4ra1,a.4
d1w5sa1,a.4
d2bbya_,a.4
d4ou0a_,a.4
d1cf7a_,a.4
d1d8ka_,a.4
d3jtga_,a.4
d2irfg_,a.4
d3mexa_,a.4
d2etha1,a.4
d2a61a1,a.4
d1i27a1,a.4
d1o7fa1,a.4
d2v9va1,a.4
d2esna1,a.4
d1sd4a_,a.4
d1q1ha_,a.4
d1oywa1,a.4
d1pp7u_,a.4
d2cqka1,a.4
d4cr2t2,a.4
d4cr2s2,a.4
d4cr2o2,a.4
d2co5a1,a.4
d1stza1,a.4
d1u5tb1,a.4
d1u5tb2,a.4
d1u5ta1,a.4
d1wj5a1,a.4
d2hoea1,a.4
d2od5a1,a.4
d2htja1,a.4
d2ns0a1,a.4
d1zela1,a.4
d3kx2a3,a.4
d4a5na_,a.4
d4q48a3,a.4
d5u8ja2,a.4
d3kcca2,a.4
d2xiga_,a.4
d3k69a_,a.4
d3bpva_,a.4
d3qu3a_,a.4
d3e6ma_,a.4
d3keoa1,a.4
d2pn6a1,a.4
d4k2ea_,a.4
d1kgsa1,a.4
d1p4wa_,a.4
d3q9va_,a.4
d2pmub_,a.4
d4ixaa_,a.4
d1e3ha1,a.4
d1twfj_,a.4
d1l8qa1,a.4
d1j1va_,a.4
d2jrta1,a.4
d2cosa1,a.5
d4un2b1,a.5
d2daka1,a.5
d4uyba1,a.5
d2crua1,a.5
d1ufza1,a.5
d1q06a_,a.6
d1rh6a_,a.6
d5crla_,a.6
d1hcia1,a.7
d1hcia4,a.7
d1u5pa2,a.7
